Brand,Variants,Model,Transmission,Engine,Seater,Fuel_type,Price
Tata Nexon,1.2 XE,SUV,Manual,1497,5,Petrol,9.01
Tata Nexon,1.2 XM,SUV,Manual,1497,5,Petrol,10.06
Tata Nexon,1.2 XM S,SUV,Manual,1497,5,Petrol,10.72
Tata Nexon,1.2 XMA,SUV,Automatic,1497,5,Petrol,10.78
Tata Nexon,1.2 XM Plus S,SUV,Manual,1497,5,Petrol,11.16
Tata Nexon,1.5 XM Diesel,SUV,Manual,1497,5,Diesel,11.33
Tata Nexon,1.2 XMA S,SUV,Automatic,1497,5,Petrol,11.84
Tata Nexon,1.2 XMA Plus S,SUV,Automatic,1497,5,Petrol,12.30
Tata Nexon,1.2 XZ Plus,SUV,Manual,1497,5,Petrol,12.35
Tata Nexon,1.2 XZ Plus Dark Edition,SUV,Manual,1497,5,Petrol,12.69
Tata Nexon,1.5 XM S Diesel,SUV,Manual,1497,5,Diesel,12.74
Tata Nexon,1.2 XZA Plus,SUV,Automatic,1497,5,Petrol,13.09
Tata Nexon,1.2 XZ Plus S,SUV,Manual,1497,5,Petrol,13.21
Tata Nexon,1.2 XZA Plus Dark Edition,SUV,Automatic,1497,5,Petrol,13.43
Tata Nexon,1.5 XMA S Diesel,SUV,Automatic,1497,5,Diesel,13.49
Tata Nexon,1.5 XM Plus S,SUV,Manual,1497,5,Diesel,13.49
Tata Nexon,1.2 XZ Plus Dark Edition S,SUV,Manual,1497,5,Petrol,13.55
Tata Nexon,1.2 XZ Plus Lux,SUV,Manual,1497,5,Petrol,13.60
Tata Nexon,1.2 XZA Plus S,SUV,Automatic,1497,5,Petrol,13.94
Tata Nexon,1.2 XZ Plus Dark Edition Lux,SUV,Manual,1497,5,Petrol,13.94
Tata Nexon,1.2 XZ Plus Luxs,SUV,Manual,1497,5,Petrol,14.17
Tata Nexon,1.2 XZ Plus Kaziranga Luxs,SUV,Manual,1497,5,Petrol,14.17
Tata Nexon,1.5 XMA Plus S,SUV,Automatic,1497,5,Diesel,14.19
Tata Nexon,1.5 XZ Plus Diesel,SUV,Manual,1497,5,Diesel,14.25
Tata Nexon,1.2 XZA Plus Dark Edition S,SUV,Automatic,1497,5,Petrol,14.28
Tata Nexon,1.2 XZA Plus Lux,SUV,Automatic,1497,5,Petrol,14.34
Tata Nexon,1.2 XZ Plus Dark Edition Luxs,SUV,Manual,1497,5,Petrol,14.40
Tata Nexon,1.2 XZ Plus Luxs Red Dark,SUV,Manual,1497,5,Petrol,14.46
Tata Nexon,1.5 XZ Plus Dark Edition Diesel,SUV,Manual,1497,5,Diesel,14.59
Tata Nexon,1.2 XZA Plus Dark Edition Lux,SUV,Automatic,1497,5,Petrol,14.68
Tata Nexon,1.2 XZA Plus Luxs,SUV,Automatic,1497,5,Petrol,14.91
Tata Nexon,1.2 XZA Plus Kaziranga Luxs,SUV,Automatic,1497,5,Petrol,14.91
Tata Nexon,1.5 XZA Plus Diesel,SUV,Automatic,1497,5,Diesel,15.00
Tata Nexon,1.5 XZ Plus S Diesel,SUV,Manual,1497,5,Diesel,15.12
Tata Nexon,1.2 XZA Plus Dark Edition Luxs,SUV,Automatic,1497,5,Petrol,15.14
Tata Nexon,1.2 XZA Plus Luxs Red Dark,SUV,Automatic,1497,5,Petrol,15.19
Tata Nexon,1.5 XZA Plus Dark Edition Diesel,SUV,Automatic,1497,5,Diesel,15.35
Tata Nexon,1.5 XZ Plus Dark Edition S Diesel,SUV,Manual,1497,5,Diesel,15.47
Tata Nexon,1.5 XZ Plus Lux Diesel,SUV,Manual,1497,5,Diesel,15.52
Tata Nexon,1.5 XZ Plus Dark Edition Lux Diesel,SUV,Manual,1497,5,Diesel,15.87
Tata Nexon,1.5 XZ Plus Kaziranga Luxs Diesel,SUV,Manual,1497,5,Diesel,16.10
Tata Nexon,1.5 XZ Plus Luxs Diesel,SUV,Manual,1497,5,Diesel,16.10
Tata Nexon,1.5 XZA Plus Lux Diesel,SUV,Automatic,1497,5,Diesel,16.28
Tata Nexon,1.5 XZ Plus Dark Edition Luxs Diesel,SUV,Manual,1497,5,Diesel,16.34
Tata Nexon,1.5 XZ Plus Luxs Red Dark,SUV,Manual,1497,5,Diesel,16.39
Tata Nexon,1.5 XZA Plus Dark Edition Lux Diesel,SUV,Automatic,1497,5,Diesel,16.63
Tata Nexon,1.5 XZA Plus Luxs Diesel,SUV,Automatic,1497,5,Diesel,16.86
Tata Nexon,1.5 XZA Plus Kaziranga Luxs Diesel,SUV,Automatic,1497,5,Diesel,16.86
Tata Nexon,1.5 XZA Plus Dark Edition Luxs Diesel,SUV,Automatic,1497,5,Diesel,17.09
Tata Nexon,1.5 XZA Plus Luxs Red Dark,SUV,Automatic,1497,5,Diesel,17.15
Maruti Suzuki Baleno,1.2 Sigma,Hatchback,Manual,1197,5,Petrol,7.42
Maruti Suzuki Baleno,1.2 Delta,Hatchback,Manual,1197,5,Petrol,8.35
Maruti Suzuki Baleno,1.2 Delta AMT,Hatchback,Automatic,1197,5,Petrol,8.96
